,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
1588,yamana gold inc.,2018-07-17,99663,3461,Mining &amp; Metals,0,0,5715,733,0
1589,yelp,2018-07-17,122126,9749,Internet,0,0,203327,14323,1
1590,youtube,2018-02-17,330234,41598,Internet,1,0,83878678,715580,1
1591,zebra technologies,2018-07-17,98853,6752,Information Technology and Services,1252,0,32750,1388,0
1592,zendesk,2018-07-17,71900,2475,Computer Software,84,0,108955,6823,1
1593,zillow,2018-07-17,55556,1422,Internet,0,0,2088228,125779,1
1594,zimmer biomet,2018-07-17,131535,15627,Medical Devices,1946,0,29060,1677,1
1595,zions bancorporation,2018-02-17,7859,2842,Banking,508,508,1469,309,0
1596,zions bank,2018-07-17,10819,2558,Banking,13,0,288269,15603,1
1597,zipcar,2018-03-09,18697,636,Consumer Services,41,0,311252,4626,1
1598,zoes kitchen,2018-07-17,19978,1062,Restaurants,329,265645,243681,20881,1
1599,zscaler,2018-07-17,23093,1144,Computer & Network Security,150,0,2720,1556,1
1600,zumiez,2018-07-17,14558,2868,Retail,575,0,1665164,9820,1
1601,"zurn industries, llc",2018-07-17,4915,426,Building Materials,212,212,848,101,0
1602,zynerba pharmaceuticals,2018-07-17,940,25,Pharmaceuticals,0,0,61,4,0
1603,zynga,2018-07-17,106070,2289,Computer Games,0,0,3508119,4575,1
